slug,group,order,name_en
primary-road-tunnel,,,Primary road tunnel
primary-road-under-construction,,,Primary road under construction
prison,,,Prison
private-road,,,Private road
pub,,,Pub
public-toilets,,,Public toilets
raceway,,,Raceway
railway,,,Railway
railway-bridge,,,Railway bridge
railway-crossing,,,Railway crossing
_railway-crossing,,,Railway crossing
railway-or-tram-station,,,Railway or tram station
railway-station,,,Railway station
_railway-station,,,Railway station
_railway-station-label,,,Railway station label
_railway-stop-label,,,Railway stop label
railway-tunnel,,,Railway tunnel
recycling,,,Recycling
red-dotted-hiking-trail,,,Red dotted hiking trail
red-hiking-trail,,,Red hiking trail
red-hiking-trail-branch-to-a-castle,,,Red hiking trail branch to a castle
red-hiking-trail-branch-to-a-peak,,,Red hiking trail branch to a peak
red-hiking-trail-branch-to-a-poi,,,Red hiking trail branch to a POI
red-hiking-trail-branch-to-a-spring,,,Red hiking trail branch to a spring
red-nature-trail,,,Red nature trail
red-spa-path,,,Red spa path
red-supplementary-hiking-trail,,,Red supplementary hiking trail
residential-area,,,Residential area
restaurant,,,Restaurant
river,,,River
_river,,,River
road-under-construction,,,Road under construction
roundabout,,,Roundabout
_roundabout,,,Roundabout
ruins,,,Ruins
_ruins,,,Ruins
runway,,,Runway
_runway,,,Runway
_runway-access-road,,,Runway access road
scrub,,,Scrub
sculpture,,,Sculpture
secondary-road,,,Secondary road
secondary-road-bridge,,,Secondary road bridge
_secondary-road-link,,,Secondary road link
secondary-road-tunnel,,,Secondary road tunnel
secondary-road-under-construction,,,Secondary road under construction
service-lift,,,Service lift
_service-tunnel,,,Service tunnel
shelter,,,Shelter
school,,,School
side-railway,,,Side railway
significant-tree,,,Significant tree
_significant-tree,,,Significant tree
signpost,,,Signpost
sikh-temple,,,Sikh temple
sports-area,,,Sports area
_sports-area,,,Sports area
spring,,,Spring
_spring,,,Spring
stately-castle,,,Stately castle
_stately-castle,,,Stately castle
steps,,,Steps
stream,,,Stream
_stream,,,Stream
subway,,,Subway
_subway,,,Subway
subway-overground,,,Subway overground
synagogue,,,Synagogue
telephone,,,Telephone
tertiary-road,,,Tertiary road
tertiary-road-bridge,,,Tertiary road bridge
tertiary-road-tunnel,,,Tertiary road tunnel
_tertiary-road-under-construction,,,Tertiary road under construction
theatre,,,Theatre
town-pop-less-than-10-000,,,"Town, pop. less than 10 000"
_town-pop-less-than-10-000,,,"Town, pop. less than 10 000"
_town-pop-less-than-50-000,,,"Town, pop. less than 50 000"
_town-pop-more-than-50-000,,,"Town, pop. more than 50 000"
town-pop-10-001-to-50-000,,,"Town, pop. 10 001 to 50 000"
_town-pop-10-001-to-50-000,,,"Town, pop. 10 001 to 50 000"
town-pop-50-001-to-100-000,,,"Town, pop. 50 001 to 100 000"
_town-pop-50-001-to-100-000,,,"Town, pop. 50 001 to 100 000"
_track,,,Track
tram,,,Tram
_tram-stop-label,,,Tram stop label
_tram-tunnel,,,Tram tunnel
transmission-tower,,,Transmission tower
_transmission-tower,,,Transmission tower
_turning-circle,,,Turning circle
unclassified-road,,,Unclassified road
unclassified-road-bridge,,,Unclassified road bridge
unclassified-road-tunnel,,,Unclassified road tunnel
underground-river,,,Underground river
underground-stream,,,Underground stream
underground-water-canal,,,Underground water canal
underpass,,,Underpass
_underpass,,,Underpass
uphill,,,Uphill
viewpoint,,,Viewpoint
vineyard,,,Vineyard
vineyard-orchard,,,"Vineyard, orchard"
water-area,,,Water area
water-canal,,,Water canal
water-tower,,,Water tower
way-continues-not-mapped-yet,,,"Way continues, not mapped yet"
wayside-cross,,,Wayside cross
_wayside-cross,,,Wayside cross
weir,,,Weir
windmill,,,Windmill
_windmill,,,Windmill
wind-power-plant,,,Wind power plant
yellow-dotted-hiking-trail,,,Yellow dotted hiking trail
yellow-hiking-trail,,,Yellow hiking trail
yellow-hiking-trail-branch-to-a-castle,,,Yellow hiking trail branch to a castle
yellow-hiking-trail-branch-to-a-peak,,,Yellow hiking trail branch to a peak
yellow-hiking-trail-branch-to-a-poi,,,Yellow hiking trail branch to a POI
yellow-hiking-trail-branch-to-a-spring,,,Yellow hiking trail branch to a spring
yellow-nature-trail,,,Yellow nature trail
yellow-spa-path,,,Yellow spa path
yellow-supplementary-hiking-trail,,,Yellow supplementary hiking trail
zoo,,,Zoo
